expansions,runtime,maxTreeSize,pathCost,pathFound
35416,0.508056,36513,1,35416
13108,0.215553,13624,1,13108
189,0.004055,427,1,189
83,0.001837,250,1,83
24018,0.357881,37113,1,24018
6133,0.102481,6732,1,6133
88,0.001681,241,1,88
112,0.002249,281,1,112
239,0.004466,690,1,239
97,0.002016,292,1,97
2359,0.041092,2740,1,2359
4697,0.124583,5120,1,4697
297,0.004795,639,1,297
7816,0.126318,8398,1,7816
1905,0.030983,2632,1,1905
25900,0.362815,27792,1,25900
56,0.001194,144,1,56
11748,0.177075,14931,1,11748
87,0.002384,262,1,87
1787,0.029743,3675,1,1787
142,0.003191,427,1,142
77,0.001767,232,1,77
14666,0.225888,15287,1,14666
40,0.000665,117,1,40
11563,0.200450,12199,1,11563
167,0.003320,427,1,167
22002,0.325624,22380,1,22002
6508,0.104632,6859,1,6508
239,0.004789,718,1,239
42,0.000807,127,1,42
3929,0.077032,4382,1,3929
64,0.001271,193,1,64
